date,text
2025-09-24,디지털 성범죄 처벌 강화 법안이 국회에 제출되어 처벌 수위 논의가 진행된다. 市는 후속 대책을 검토 중이라고 설명했다. 보도 여론은 진전 반응이 확산되는 양상이다
2025-09-19,온라인 커뮤니티의 혐오표현 규제와 표현의 자유 균형을 두고 공청회가 열렸다. 전문가들은 추가 보완이 필요하다고 밝혔다. 보도 여론은 피해 반응이 확산되는 양상이다
2025-09-13,청년 주거 대책으로 월세 지원과 공공주택 공급 확대 방안이 발표됐다. 정부는 관계부처 합동 점검을 실시한다고 밝혔다. 보도 여론은 만족 반응이 확산되는 양상이다
2025-09-21,대형 쇼핑몰 개인정보 유출 의혹이 제기되어 금융당국이 조사에 착수했다. 전문가들은 추가 보완이 필요하다고 밝혔다. 포럼 여론은 칭찬 반응이 확산되는 양상이다
2025-09-28,플랫폼 배달 수수료 인하와 소상공인 상생 협약이 지역별로 확산된다. 市는 후속 대책을 검토 중이라고 설명했다. 포럼 여론은 혜택 반응이 확산되는 양상이다
2025-09-13,대형 쇼핑몰 개인정보 유출 의혹이 제기되어 금융당국이 조사에 착수했다. 시민단체는 공개 토론을 제안했다. 뉴스 여론은 항의 반응이 확산되는 양상이다
2025-09-20,자율주행 차량 안전 기준과 보험 제도 정비를 위한 시범사업이 확대된다. 시민단체는 공개 토론을 제안했다. 포럼 여론은 실패 반응이 확산되는 양상이다
2025-09-19,대형 쇼핑몰 개인정보 유출 의혹이 제기되어 금융당국이 조사에 착수했다. 정부는 관계부처 합동 점검을 실시한다고 밝혔다. 보도 여론은 혜택 반응이 확산되는 양상이다
2025-09-16,자율주행 차량 안전 기준과 보험 제도 정비를 위한 시범사업이 확대된다. 정부는 관계부처 합동 점검을 실시한다고 밝혔다. 뉴스 여론은 혜택 반응이 확산되는 양상이다
2025-09-07,온라인 커뮤니티의 혐오표현 규제와 표현의 자유 균형을 두고 공청회가 열렸다. 정부는 관계부처 합동 점검을 실시한다고 밝혔다. 뉴스 여론은 사기 반응이 확산되는 양상이다
2025-09-02,온라인 커뮤니티의 혐오표현 규제와 표현의 자유 균형을 두고 공청회가 열렸다. 정부는 관계부처 합동 점검을 실시한다고 밝혔다. SNS 여론은 추천 반응이 확산되는 양상이다
2025-09-14,청년 주거 대책으로 월세 지원과 공공주택 공급 확대 방안이 발표됐다. 시민단체는 공개 토론을 제안했다. 보도 여론은 해결 반응이 확산되는 양상이다
2025-08-31,청년 주거 대책으로 월세 지원과 공공주택 공급 확대 방안이 발표됐다. 정부는 관계부처 합동 점검을 실시한다고 밝혔다. SNS 여론은 회복 반응이 확산되는 양상이다
2025-09-26,자율주행 차량 안전 기준과 보험 제도 정비를 위한 시범사업이 확대된다. 전문가들은 추가 보완이 필요하다고 밝혔다. SNS 여론은 만족 반응이 확산되는 양상이다
2025-09-02,아동 학대 예방을 위한 신고 의무 강화와 교사 지원 정책이 추진된다. 市는 후속 대책을 검토 중이라고 설명했다. 뉴스 여론은 만족 반응이 확산되는 양상이다
2025-09-22,디지털 성범죄 처벌 강화 법안이 국회에 제출되어 처벌 수위 논의가 진행된다. 전문가들은 추가 보완이 필요하다고 밝혔다. SNS 여론은 불만 반응이 확산되는 양상이다
2025-09-19,플랫폼 노동 환경에서 택배기사의 업무 강도와 임금 체계 개편 논의가 이어졌다. 국회는 다음 주 관련 법안 심사를 예고했다. 보도 여론은 문제 반응이 확산되는 양상이다
2025-09-22,청년 주거 대책으로 월세 지원과 공공주택 공급 확대 방안이 발표됐다. 시민단체는 공개 토론을 제안했다. 보도 여론은 진전 반응이 확산되는 양상이다
2025-09-25,자율주행 차량 안전 기준과 보험 제도 정비를 위한 시범사업이 확대된다. 시민단체는 공개 토론을 제안했다. 포럼 여론은 칭찬 반응이 확산되는 양상이다
